ID da Pesquisa,Contact ID,Status,Pergunta,Resposta
1,7e57e233fab0d227ad16,Complete,Eu me sinto entusiasmado(a) com o meu trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Eu me sinto cheio(a) de energia para trabalhar.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Eu me sinto emocionalmente esgotado(a) ao final do dia de trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Consigo me manter concentrado(a) nas atividades de trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Eu me sinto animado(a) para ir trabalhar.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sinto que o tempo passa rápido quando estou trabalhando.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Eu me sinto bem com o meu trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Fico desanimado(a) quando estou trabalhando.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho autonomia para priorizar as demandas que chegam para mim.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho pouca autoridade para decidir como executar meu trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,"Tenho liberdade para propor e aplicar melhorias no meu trabalho,  conforme o nível de responsabilidade do meu cargo.","Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Me identifico com os valores da entidade.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sinto que o meu trabalho contribui significativamente para a entidade.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sou envolvido(a) nas decisões da entidade em que minha opinião é relevante.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho orgulho de trabalhar na entidade.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,"Tenho liberdade para resolver problemas no trabalho da forma que eu achar necessário, conforme o nível de responsabilidade do meu cargo.","Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,"Você sinalizou não ter liberdade para propor e aplicar melhorias no seu trabalho. Selecione até três motivos, sendo 1 para o principal, 2 para o segundo mais importante e 3 para o terceiro mais importante.",A minha liderança direta quer participar de todas as etapas. (Rank: 1)
1,7e57e233fab0d227ad16,Complete,Entendo o porquê da priorização das tarefas que executo.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho clareza de quais são os critérios em que minha performance será avaliada.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho clareza dos processos das outras áreas da entidade.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho clareza dos processos internos da entidade que impactam o meu trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Tenho clareza de quais são os objetivos estratégicos da entidade.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,A priorização de atividades é bem alinhada entre áreas.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sinto que minha área não é respeitada pelas demais áreas da entidade.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sinto que as áreas competem entre si. ,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Há muita competitividade entre meus colegas de trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Eu tenho oportunidade de construir amizades em meu trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Meus colegas de trabalho se preocupam comigo.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Meus colegas e eu respeitamos uns aos outros.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Meus colegas me ajudam no meu trabalho.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sinto que meus colegas menosprezam minhas opiniões.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,Sinto que minhas opiniões são ouvidas.,"Não concordo, nem discordo"
1,7e57e233fab0d227ad16,Complete,As pessoas se sentem confortáveis para discutir sobre problemas do trabalho.,"Não concordo, nem discordo"
